==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
I1102 06:03:17.031718       1 dns.go:48] version: 1.14.4-2-g5584e04
I1102 06:03:30.534038       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:31.034063       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:31.534077       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:32.034014       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:32.534049       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:33.034064       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:33.534058       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:34.034053       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:34.534024       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:35.034096       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:35.534059       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:36.034022       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:36.534038       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:37.034027       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:37.534026       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:38.034026       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:38.534018       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:39.034008       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:39.534025       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:40.034031       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:40.534041       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:41.034105       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:41.534052       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:42.034004       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:42.534033       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:43.034020       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:43.534023       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:44.034028       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:44.534021       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:45.034070       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:45.534031       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:46.034035       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:46.534023       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:47.034002       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
E1102 06:03:47.034570       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: i/o timeout
E1102 06:03:47.034739       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: i/o timeout
I1102 06:03:47.534017       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:48.034065       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:48.534086       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:49.034055       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:49.534048       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:50.034026       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:50.534048       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:51.034047       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:51.534008       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:52.034000       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:52.534030       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:53.034086       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:53.534082       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:54.034040       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:54.534028       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:55.034018       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:55.534026       1 dns.go:171] Initialized services and endpoints from apiserver
I1102 06:03:55.534045       1 server.go:129] Setting up Healthz Handler (/readiness)
I1102 06:03:55.534051       1 server.go:134] Setting up cache handler (/cache)
I1102 06:03:55.534056       1 server.go:120] Status HTTP port 8081
I1102 08:17:56.586200       1 streamwatcher.go:103] Unexpected EOF during watch stream event decoding: unexpected EOF
I1102 08:17:56.586431       1 streamwatcher.go:103] Unexpected EOF during watch stream event decoding: unexpected EOF
E1102 08:17:56.586608       1 reflector.go:300] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to watch *v1.Endpoints: Get https://10.96.0.1:443/api/v1/watch/endpoints?resourceVersion=26256&timeoutSeconds=311: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:56.586640       1 reflector.go:300] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to watch *v1.Service: Get https://10.96.0.1:443/api/v1/watch/services?resourceVersion=14366&timeoutSeconds=365: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:57.586986       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:57.587002       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:58.587431       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:58.587482       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:59.588329       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:17:59.588331       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:00.588877       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:00.588938       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:01.589733       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:01.589790       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:02.590170       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:02.590386       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:03.590715       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:03.590814       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:04.591298       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:04.591331       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:05.591812       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:05.592067       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:06.592306       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:06.592401       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:07.592763       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:07.592809       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:08.593234       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:08.593235       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:09.593886       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:09.593886       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:10.594429       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.96.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
E1102 08:18:10.594601       1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Service: Get https://10.96.0.1:443/api/v1/services?resourceVersion=0: dial tcp 10.96.0.1:443: getsockopt: connection refused
W1102 08:14:02.219143       1 reflector.go:319] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: watch of *v1.Service ended with: very short watch
W1103 02:21:54.306022       1 reflector.go:319] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: watch of *v1.Service ended with: very short watch
==== END logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
==== START logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
I1102 06:03:17.150848       1 main.go:76] opts: {{/usr/sbin/dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053] true} /etc/k8s/dns/dnsmasq-nanny 10000000000}
I1102 06:03:17.150973       1 nanny.go:86] Starting dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053]
I1102 06:03:17.158912       1 nanny.go:111] 
W1102 06:03:17.158929       1 nanny.go:112] Got EOF from stdout
I1102 06:03:17.158943       1 nanny.go:108] dnsmasq[13]: started, version 2.78-security-prerelease cachesize 1000
I1102 06:03:17.158948       1 nanny.go:108] dnsmasq[13]: compile time options: IPv6 GNU-getopt no-DBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth no-DNSSEC loop-detect inotify
I1102 06:03:17.158951       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1102 06:03:17.158954       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1102 06:03:17.158957       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1102 06:03:17.158962       1 nanny.go:108] dnsmasq[13]: reading /etc/resolv.conf
I1102 06:03:17.158965       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1102 06:03:17.158967       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1102 06:03:17.158970       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1102 06:03:17.158973       1 nanny.go:108] dnsmasq[13]: using nameserver 168.95.1.1#53
I1102 06:03:17.159036       1 nanny.go:108] dnsmasq[13]: read /etc/hosts - 7 addresses
==== END logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
==== START logs for container sidecar of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
ERROR: logging before flag.Parse: I1102 06:03:17.252506       1 main.go:48] Version v1.14.4-2-g5584e04
ERROR: logging before flag.Parse: I1102 06:03:17.252619       1 server.go:45] Starting server (options {DnsMasqPort:53 DnsMasqAddr:127.0.0.1 DnsMasqPollIntervalMs:5000 Probes:[{Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1} {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}] PrometheusAddr:0.0.0.0 PrometheusPort:10054 PrometheusPath:/metrics PrometheusNamespace:kubedns})
ERROR: logging before flag.Parse: I1102 06:03:17.252670       1 dnsprobe.go:75] Starting dnsProbe {Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: I1102 06:03:17.252721       1 dnsprobe.go:75] Starting dnsProbe {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
==== END logs for container sidecar of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
