==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-7jv88 ====
I1102 06:03:17.024293       1 dns.go:48] version: 1.14.4-2-g5584e04
==== START logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-7jv88 ====
I1102 06:03:17.110321       1 main.go:76] opts: {{/usr/sbin/dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053] true} /etc/k8s/dns/dnsmasq-nanny 10000000000}
I1102 06:03:17.110413       1 nanny.go:86] Starting dnsmasq [-k --cache-size=1000 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053]
I1102 06:03:17.119197       1 nanny.go:111] 
I1102 06:03:17.119212       1 nanny.go:108] dnsmasq[13]: started, version 2.78-security-prerelease cachesize 1000
W1102 06:03:17.119226       1 nanny.go:112] Got EOF from stdout
I1102 06:03:17.119234       1 nanny.go:108] dnsmasq[13]: compile time options: IPv6 GNU-getopt no-DBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset auth no-DNSSEC loop-detect inotify
I1102 06:03:17.119244       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1102 06:03:17.119248       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1102 06:03:17.119251       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1102 06:03:17.119255       1 nanny.go:108] dnsmasq[13]: reading /etc/resolv.conf
I1102 06:03:17.119258       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain ip6.arpa 
I1102 06:03:17.119261       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain in-addr.arpa 
I1102 06:03:17.119264       1 nanny.go:108] dnsmasq[13]: using nameserver 127.0.0.1#10053 for domain cluster.local 
I1102 06:03:17.119267       1 nanny.go:108] dnsmasq[13]: using nameserver 168.95.1.1#53
I1102 06:03:17.119297       1 nanny.go:108] dnsmasq[13]: read /etc/hosts - 7 addresses
==== END logs for container dnsmasq of pod kube-system/kube-dns-545bc4bfd4-7jv88 ====
==== START logs for container sidecar of pod kube-system/kube-dns-545bc4bfd4-7jv88 ====
ERROR: logging before flag.Parse: I1102 06:03:19.528321       1 main.go:48] Version v1.14.4-2-g5584e04
ERROR: logging before flag.Parse: I1102 06:03:19.528389       1 server.go:45] Starting server (options {DnsMasqPort:53 DnsMasqAddr:127.0.0.1 DnsMasqPollIntervalMs:5000 Probes:[{Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1} {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}] PrometheusAddr:0.0.0.0 PrometheusPort:10054 PrometheusPath:/metrics PrometheusNamespace:kubedns})
ERROR: logging before flag.Parse: I1102 06:03:19.528436       1 dnsprobe.go:75] Starting dnsProbe {Label:kubedns Server:127.0.0.1:10053 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: I1102 06:03:19.528538       1 dnsprobe.go:75] Starting dnsProbe {Label:dnsmasq Server:127.0.0.1:53 Name:kubernetes.default.svc.cluster.local. Interval:5s Type:1}
ERROR: logging before flag.Parse: W1102 23:42:32.847046       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:38636->127.0.0.1:53: i/o timeout
==== END logs for container sidecar of pod kube-system/kube-dns-545bc4bfd4-7jv88 ====
